0,R,Y,C,I,pi,w,L,RE,LEV_F,LEV_E,S
Sep-98,0.208651961,1.436836322,-0.14188597,8.55618614,-0.11880017,-1.35744587,2.25400614,-0.31379902,-4.37137207,1.5382909,-0.54490196
Dec-98,0.001151961,2.475870188,0.6292658,10.27712196,-0.35353694,-1.72780375,3.44630321,-0.27879902,-2.4309475,2.1095408,-0.46490196
Mar-99,0.033651961,2.867587414,1.04189973,11.21988381,-0.12206037,-0.87047703,2.16630455,-0.20379902,-6.3212439,2.4728948,-0.42490196
Jun-99,0.021151961,2.788852784,1.67401893,12.11990887,-0.23961553,-1.36005482,2.79713578,-0.08129902,-4.85379459,1.984818,-0.40490196
Sep-99,0.136151961,3.416854173,2.15899588,13.09548863,-0.24081561,-1.32624623,3.32242514,-0.03629902,-2.42818199,3.4923476,-0.39490196
Dec-99,0.156151961,4.37498069,2.66407362,12.43112535,-0.24200742,-0.01200072,3.04514767,-0.03879902,0.28926109,2.7074555,-0.30490196
Mar-00,0.293651961,2.612030252,2.07328132,13.36813903,0.2129101,2.41950224,3.29875045,0.006200981,-2.10639853,3.2442957,-0.32490196
Jun-00,0.463651961,4.008630699,2.39936745,15.09986907,-0.01942079,1.81534896,2.87306907,0.033700981,-1.53307213,3.9865025,-0.27490196
Sep-00,0.461151961,3.717397439,2.92525338,14.99178975,-0.02261999,2.91005034,2.39733823,0.001200981,0.07152941,4.6520238,-0.23490196
Dec-00,0.431151961,3.369909037,2.7953969,13.99428967,-0.02578332,2.54264526,1.16948417,-0.08129902,-0.97956794,2.7145567,0.16509804
1-Mar,0.158651961,2.143584391,2.22390671,11.92642069,0.08226153,3.71266292,1.07110525,-0.12629902,-3.38540673,3.7603516,0.06509804
1-Jun,-0.176348039,2.766193963,2.49578892,10.13156322,0.07781699,2.99234915,0.5535037,-0.09379902,-7.01719823,3.8700323,0.23509804
1-Sep,-0.401348039,1.625653977,1.99569545,8.10639581,-0.25605847,2.60469112,-0.65893972,-0.07879902,-6.40895834,4.3265575,0.39509804
1-Dec,-0.713848039,1.332643771,2.83153942,4.35024153,-0.25714769,2.79328154,-0.96122601,-0.07379902,-8.43899358,4.0959929,1.30509804
